,variable,model,mean,bias,ccoef,crmsd,rmsd,sdev
0,mean,obs,17.433914184570312,0.0,1.0,0.0,0.0,7.159380912780762
1,mean,vr,18.06362405815953,0.629709873589217,0.9743523235276544,1.9953427451949635,2.0923497934382396,8.152992382327543
2,mean,rcm,18.413041960755955,0.9791277761856421,0.9692362383517671,2.295863287819699,2.4959327232322868,8.410796603664512
3,max,obs,23.551578521728516,0.0,1.0,0.0,0.0,6.935990810394287
4,max,vr,22.982635601379304,-0.5689429203492118,0.9737856827889475,2.110815814697823,2.186146790150351,8.156441043998527
5,max,rcm,23.14903018644717,-0.40254833528134526,0.9735605876035389,2.318810812292632,2.3534926321117253,8.445717124111948
6,min,obs,12.152575492858887,0.0,1.0,0.0,0.0,7.469000339508057
7,min,vr,12.943447912890583,0.7908724200316968,0.9697338295970679,2.1267399792905333,2.269031176994898,8.33714060212767
8,min,rcm,13.499407237211075,1.3468317443521887,0.9600609509609511,2.468074264056456,2.8116448784687065,8.483821334727583
