,mean,RX5day,SDII,CDD,CWD,model,season
ccoef,0.8049054631812609,0.862378645715997,0.7845942671293366,0.3615483130155558,0.3425873542708865,vr,mjja
crmsd,1.2937862353354703,0.6302608501150593,0.6528338138956833,1.1690231125516084,3.238070811294689,vr,mjja
sdev,1.9545817683927,1.2377793220269422,0.9889962059112498,1.066766166110785,3.441372386225342,vr,mjja
ccoef,0.832080146401436,0.8081835483635481,0.7402972672430644,0.39082939098451025,0.4349781762666454,rcm,mjja
crmsd,0.7237688627820371,0.6400666305980303,0.6724345128818128,1.040611385047395,2.3931503833957644,rcm,mjja
sdev,1.2970519023310492,1.058874472512412,0.754727028230327,0.8762360942216836,2.6522681373171957,rcm,mjja
