,mean,heat_wave_total_length,heat_wave_max_length,daily_temperature_range,daily_temperature_range_variability,model,season
ccoef,0.9717974380850016,0.7746135564846087,0.7366929480378774,0.7967407747510222,0.7219207059001854,vr,mjja
crmsd,0.2785823471127616,1.4488759153007995,1.869517562574954,0.6657721299739301,0.6929150243666613,vr,mjja
sdev,1.1201159654466772,2.0781731369520537,2.479625079953786,1.076112224472638,0.7579865838723605,vr,mjja
ccoef,0.9646642202802206,0.804876454498028,0.7802104215260922,0.7870603589319987,0.7414179444511946,rcm,mjja
crmsd,0.326520035680612,1.4690887489818967,1.8396337985697406,0.6482483062285751,0.6713495528136931,rcm,mjja
sdev,1.1575175132392208,2.1487692550556106,2.510233778217573,0.9862836000197355,0.721149701479259,rcm,mjja
